,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match Info,Match No,Season
1,B Lee,4,0,19,0,4.75,,,,0,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
2,MA Starc,4,0,28,2,7,,,,1,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
3,JR Hazlewood,4,0,24,2,6,,,,0,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
4,DJ Bravo,2,0,20,1,10,,,,1,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
5,SCG MacGill,4,0,21,2,5.25,,,,2,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
6,SPD Smith,2,0,25,1,12.5,,,,0,0,Brisbane Heat,Sydney Sixers,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
1,NM Hauritz,3,0,23,0,7.66,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
2,AC McDermott,3,0,33,1,11,,,,1,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
3,DT Christian,4,0,20,1,5,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
4,JR Hopes,3.4,0,29,1,7.9,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
5,ND Buchanan,2,0,21,0,10.5,,,,1,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
6,CA Lynn,3,0,14,0,4.66,,,,0,0,Sydney Sixers,Brisbane Heat,524915," (N)Big Bash League at Sydney, Dec 16 2011 | Match Summary | ESPNCricinfo",1,1
1,CH Gayle,3,0,15,0,5,,,,1,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
2,DE Bollinger,3,0,22,2,7.33,,,,0,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
3,FH Edwards,4,0,34,0,8.5,,,,1,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
4,SJ Coyte,4,0,26,2,6.5,,,,1,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
5,LA Doran,3,0,15,1,5,,,,0,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
6,SA Abbott,3,0,35,1,11.66,,,,0,0,Melbourne Stars,Sydney Thunder,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
1,JP Faulkner,4,0,20,2,5,,,,2,0,Sydney Thunder,Melbourne Stars,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
2,JW Dernbach,4,0,36,0,9,,,,0,0,Sydney Thunder,Melbourne Stars,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
3,CJ McKay,3,0,21,1,7,,,,0,0,Sydney Thunder,Melbourne Stars,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
4,LJ Wright,4,0,35,1,8.75,,,,0,0,Sydney Thunder,Melbourne Stars,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
5,DJ Hussey,2,0,22,0,11,,,,0,0,Sydney Thunder,Melbourne Stars,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
6,SK Warne,2,0,19,0,9.5,,,,0,0,Sydney Thunder,Melbourne Stars,524916," (N)Big Bash League at Melbourne, Dec 17 2011 | Match Summary | ESPNCricinfo",2,1
1,SW Tait,3,0,41,1,13.66,,,,2,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
2,DP Nannes,3,0,38,1,12.66,,,,0,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
3,GJ Maxwell,2,0,16,0,8,,,,0,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
4,Abdul Razzaq,3,0,25,1,8.33,,,,0,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
5,Shahid Afridi,4,0,27,0,6.75,,,,0,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
6,AK Heal,4,0,32,2,8,,,,0,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
7,AB McDonald,1,0,9,0,9,,,,0,0,Adelaide Strikers,Melbourne Renegades,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
1,AC Thomas,3,0,15,0,5,,,,1,0,Melbourne Renegades,Adelaide Strikers,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
2,AW O'Brien,4,0,34,2,8.5,,,,2,0,Melbourne Renegades,Adelaide Strikers,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
3,J Botha,3.5,0,18,2,4.69,,,,0,0,Melbourne Renegades,Adelaide Strikers,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
4,KW Richardson,4,0,27,3,6.75,,,,2,0,Melbourne Renegades,Adelaide Strikers,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
5,NM Lyon,3,0,26,1,8.66,,,,0,0,Melbourne Renegades,Adelaide Strikers,524917," (D/N)Big Bash League at Adelaide, Dec 18 2011 | Match Summary | ESPNCricinfo",3,1
1,MA Beer,4,0,18,1,4.5,,,,0,0,Hobart Hurricanes,Perth Scorchers,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
2,NJ Rimmington,2.3,0,7,1,2.8,,,,0,0,Hobart Hurricanes,Perth Scorchers,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
3,MR Marsh,4,0,25,0,6.25,,,,2,0,Hobart Hurricanes,Perth Scorchers,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
4,BM Edmondson,4,0,40,4,10,,,,2,1,Hobart Hurricanes,Perth Scorchers,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
5,GB Hogg,3,0,27,1,9,,,,1,0,Hobart Hurricanes,Perth Scorchers,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
6,PD Collingwood,2,0,20,0,10,,,,0,1,Hobart Hurricanes,Perth Scorchers,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
1,JJ Krejza,3,0,15,1,5,,,,0,0,Perth Scorchers,Hobart Hurricanes,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
2,BW Hilfenhaus,4,1,10,2,2.5,,,,1,0,Perth Scorchers,Hobart Hurricanes,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
3,RJG Lockyear,1,0,1,1,1,,,,0,0,Perth Scorchers,Hobart Hurricanes,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
4,XJ Doherty,4,0,15,1,3.75,,,,0,0,Perth Scorchers,Hobart Hurricanes,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
5,B Laughlin,4,0,39,1,9.75,,,,3,0,Perth Scorchers,Hobart Hurricanes,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
6,Naved-ul-Hasan,3.5,0,27,2,7.04,,,,1,0,Perth Scorchers,Hobart Hurricanes,524918," (N)Big Bash League at Perth, Dec 18 2011 | Match Summary | ESPNCricinfo",4,1
1,NM Hauritz,4,0,18,3,4.5,,,,1,0,Melbourne Stars,Brisbane Heat,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
2,RJ Harris,4,0,31,1,7.75,,,,0,0,Melbourne Stars,Brisbane Heat,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
3,DT Christian,4,0,42,1,10.5,,,,0,0,Melbourne Stars,Brisbane Heat,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
4,AC McDermott,4,0,29,0,7.25,,,,0,0,Melbourne Stars,Brisbane Heat,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
5,ND Buchanan,1,0,16,0,16,,,,0,0,Melbourne Stars,Brisbane Heat,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
6,MG Neser,3,0,39,0,13,,,,1,0,Melbourne Stars,Brisbane Heat,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
1,JP Faulkner,4,0,36,1,9,,,,1,0,Brisbane Heat,Melbourne Stars,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
2,JW Dernbach,4,0,44,1,11,,,,1,0,Brisbane Heat,Melbourne Stars,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
3,CJ McKay,4,0,22,3,5.5,,,,1,1,Brisbane Heat,Melbourne Stars,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
4,LJ Wright,4,0,42,0,10.5,,,,2,0,Brisbane Heat,Melbourne Stars,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
5,SK Warne,4,0,22,1,5.5,,,,0,0,Brisbane Heat,Melbourne Stars,524919," (N)Big Bash League at Brisbane, Dec 20 2011 | Match Summary | ESPNCricinfo",5,1
1,B Lee,4,0,19,0,4.75,,,,1,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
2,MA Starc,4,0,35,2,8.75,,,,0,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
3,JR Hazlewood,4,0,29,0,7.25,,,,1,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
4,DJ Thornely,2,0,13,1,6.5,,,,0,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
5,DJ Bravo,2,0,23,0,11.5,,,,0,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
6,SCG MacGill,2,0,17,0,8.5,,,,0,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
7,MC Henriques,2,0,29,0,14.5,,,,0,0,Hobart Hurricanes,Sydney Sixers,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
1,JJ Krejza,4,0,20,2,5,,,,0,0,Sydney Sixers,Hobart Hurricanes,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
2,BW Hilfenhaus,4,1,33,1,8.25,,,,0,0,Sydney Sixers,Hobart Hurricanes,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
3,XJ Doherty,4,0,20,1,5,,,,0,0,Sydney Sixers,Hobart Hurricanes,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
4,B Laughlin,4,0,27,1,6.75,,,,0,0,Sydney Sixers,Hobart Hurricanes,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
5,Naved-ul-Hasan,4,0,22,4,5.5,,,,2,0,Sydney Sixers,Hobart Hurricanes,524920," (N)Big Bash League at Hobart, Dec 21 2011 | Match Summary | ESPNCricinfo",6,1
1,MA Beer,4,0,28,2,7,,,,2,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
2,NJ Rimmington,4,0,40,0,10,,,,1,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
3,BM Edmondson,4,0,36,0,9,,,,0,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
4,MR Marsh,2,0,26,0,13,,,,1,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
5,GB Hogg,4,0,22,1,5.5,,,,0,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
6,PD Collingwood,1,0,13,0,13,,,,0,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
7,MJ North,1,0,22,0,22,,,,0,0,Melbourne Renegades,Perth Scorchers,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
1,GJ Maxwell,3,0,24,0,8,,,,0,0,Perth Scorchers,Melbourne Renegades,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
2,SW Tait,4,0,40,0,10,,,,1,1,Perth Scorchers,Melbourne Renegades,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
3,Abdul Razzaq,2.2,0,34,0,14.57,,,,0,0,Perth Scorchers,Melbourne Renegades,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
4,SM Harwood,4,0,31,1,7.75,,,,2,0,Perth Scorchers,Melbourne Renegades,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
5,Shahid Afridi,4,0,36,0,9,,,,0,0,Perth Scorchers,Melbourne Renegades,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
6,AB McDonald,2,0,21,1,10.5,,,,0,0,Perth Scorchers,Melbourne Renegades,524921," (N)Big Bash League at Melbourne, Dec 22 2011 | Match Summary | ESPNCricinfo",7,1
1,LA Doran,4,0,25,1,6.25,,,,0,0,Adelaide Strikers,Sydney Thunder,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
2,FH Edwards,4,0,35,2,8.75,,,,0,0,Adelaide Strikers,Sydney Thunder,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
3,CH Gayle,1,0,9,0,9,,,,0,0,Adelaide Strikers,Sydney Thunder,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
4,DE Bollinger,3,0,27,0,9,,,,0,0,Adelaide Strikers,Sydney Thunder,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
5,SJ Coyte,4,0,35,1,8.75,,,,1,1,Adelaide Strikers,Sydney Thunder,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
6,SA Abbott,4,0,20,2,5,,,,0,0,Adelaide Strikers,Sydney Thunder,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
1,AC Thomas,4,0,27,0,6.75,,,,0,0,Sydney Thunder,Adelaide Strikers,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
2,J Botha,3.3,1,23,1,6.57,,,,0,0,Sydney Thunder,Adelaide Strikers,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
3,KW Richardson,4,0,31,0,7.75,,,,0,0,Sydney Thunder,Adelaide Strikers,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
4,AW O'Brien,4,0,26,3,6.5,,,,0,0,Sydney Thunder,Adelaide Strikers,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
5,BE McGain,2,0,21,0,10.5,,,,0,0,Sydney Thunder,Adelaide Strikers,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
6,CJ Borgas,1,0,20,0,20,,,,0,0,Sydney Thunder,Adelaide Strikers,524922," (N)Big Bash League at Sydney, Dec 23 2011 | Match Summary | ESPNCricinfo",8,1
1,JP Faulkner,4,0,41,1,10.25,,,,1,0,Sydney Sixers,Melbourne Stars,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
2,CP Simpson,3,0,25,1,8.33,,,,2,0,Sydney Sixers,Melbourne Stars,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
3,CJ McKay,4,0,35,2,8.75,,,,0,0,Sydney Sixers,Melbourne Stars,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
4,SK Warne,4,0,27,1,6.75,,,,0,0,Sydney Sixers,Melbourne Stars,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
5,DJ Hussey,4,0,25,2,6.25,,,,0,0,Sydney Sixers,Melbourne Stars,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
6,LJ Wright,1,0,12,0,12,,,,0,0,Sydney Sixers,Melbourne Stars,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
1,B Lee,4,0,30,1,7.5,,,,0,0,Melbourne Stars,Sydney Sixers,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
2,DJ Thornely,4,0,29,1,7.25,,,,0,0,Melbourne Stars,Sydney Sixers,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
3,MA Starc,3,0,28,1,9.33,,,,0,0,Melbourne Stars,Sydney Sixers,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
4,SCG MacGill,4,0,36,1,9,,,,0,0,Melbourne Stars,Sydney Sixers,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
5,SPD Smith,4,0,27,2,6.75,,,,1,0,Melbourne Stars,Sydney Sixers,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
6,MC Henriques,1,0,12,0,12,,,,1,0,Melbourne Stars,Sydney Sixers,524923," (N)Big Bash League at Sydney, Dec 27 2011 | Match Summary | ESPNCricinfo",9,1
1,AC Thomas,4,0,27,0,6.75,,,,0,0,Hobart Hurricanes,Adelaide Strikers,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
2,J Botha,4,0,28,2,7,,,,1,0,Hobart Hurricanes,Adelaide Strikers,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
3,AW O'Brien,4,0,32,1,8,,,,0,0,Hobart Hurricanes,Adelaide Strikers,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
4,KW Richardson,4,0,32,0,8,,,,1,0,Hobart Hurricanes,Adelaide Strikers,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
5,BE McGain,4,0,49,1,12.25,,,,0,0,Hobart Hurricanes,Adelaide Strikers,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
1,XJ Doherty,4,0,17,4,4.25,,,,0,0,Adelaide Strikers,Hobart Hurricanes,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
2,JJ Krejza,4,0,40,1,10,,,,0,0,Adelaide Strikers,Hobart Hurricanes,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
3,RJG Lockyear,2,0,15,0,7.5,,,,0,0,Adelaide Strikers,Hobart Hurricanes,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
4,MJ Johnston,2,0,9,0,4.5,,,,0,0,Adelaide Strikers,Hobart Hurricanes,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
5,B Laughlin,4,0,26,0,6.5,,,,0,0,Adelaide Strikers,Hobart Hurricanes,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
6,Naved-ul-Hasan,4,0,37,2,9.25,,,,0,0,Adelaide Strikers,Hobart Hurricanes,524924," (N)Big Bash League at Adelaide, Dec 28 2011 | Match Summary | ESPNCricinfo",10,1
1,RJ Harris,4,0,35,1,8.75,,,,0,0,Perth Scorchers,Brisbane Heat,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
2,NM Hauritz,3,0,16,1,5.33,,,,0,0,Perth Scorchers,Brisbane Heat,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
3,DT Christian,4,0,27,2,6.75,,,,0,0,Perth Scorchers,Brisbane Heat,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
4,MG Neser,3,0,23,2,7.66,,,,1,0,Perth Scorchers,Brisbane Heat,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
5,AC McDermott,3,0,25,0,8.33,,,,1,0,Perth Scorchers,Brisbane Heat,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
6,RE van der Merwe,3,0,30,1,10,,,,0,0,Perth Scorchers,Brisbane Heat,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
1,MA Beer,3,0,19,0,6.33,,,,0,0,Brisbane Heat,Perth Scorchers,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
2,NJ Rimmington,4,0,36,2,9,,,,3,0,Brisbane Heat,Perth Scorchers,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
3,NM Coulter-Nile,4,0,28,0,7,,,,1,0,Brisbane Heat,Perth Scorchers,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
4,BM Edmondson,4,0,33,2,8.25,,,,0,0,Brisbane Heat,Perth Scorchers,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
5,MR Marsh,1,0,7,0,7,,,,0,0,Brisbane Heat,Perth Scorchers,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
6,GB Hogg,4,0,26,1,6.5,,,,0,0,Brisbane Heat,Perth Scorchers,524925," (N)Big Bash League at Perth, Dec 29 2011 | Match Summary | ESPNCricinfo",11,1
1,LA Doran,3,0,26,2,8.66,,,,0,0,Melbourne Renegades,Sydney Thunder,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
2,CH Gayle,2,0,14,0,7,,,,0,0,Melbourne Renegades,Sydney Thunder,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
3,SJ Coyte,3,0,21,0,7,,,,0,0,Melbourne Renegades,Sydney Thunder,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
4,FH Edwards,4,0,30,1,7.5,,,,3,0,Melbourne Renegades,Sydney Thunder,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
5,SA Abbott,4,0,21,2,5.25,,,,0,0,Melbourne Renegades,Sydney Thunder,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
6,LR Butterworth,4,0,27,2,6.75,,,,1,0,Melbourne Renegades,Sydney Thunder,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
1,DP Nannes,4,0,10,0,2.5,,,,0,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
2,SW Tait,4,0,31,2,7.75,,,,2,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
3,SM Harwood,3,0,26,2,8.66,,,,0,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
4,GJ Maxwell,1,0,17,0,17,,,,0,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
5,Abdul Razzaq,3,0,20,0,6.66,,,,0,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
6,Shahid Afridi,4,0,21,3,5.25,,,,2,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
7,AB McDonald,1,0,6,0,6,,,,0,0,Sydney Thunder,Melbourne Renegades,524926," (N)Big Bash League at Sydney, Dec 30 2011 | Match Summary | ESPNCricinfo",12,1
1,MJ Johnston,4,0,20,1,5,,,,1,0,Sydney Thunder,Hobart Hurricanes,524927," (N)Big Bash League at Hobart, Jan 1 2012 | Match Summary | ESPNCricinfo",13,1
2,JJ Krejza,4,0,29,2,7.25,,,,1,0,Sydney Thunder,Hobart Hurricanes,524927," (N)Big Bash League at Hobart, Jan 1 2012 | Match Summary | ESPNCricinfo",13,1
